id,time,vol,ph,solids,hardness,oil,bod
IND107B,1514658604408,3673.0,5.0,54.0,10.0,6.0,1.0
IND107B,1514662198366,3599.0,5.8,53.1,5.4,4.4,5.4
IND107B,1514665803521,3694.0,5.8,48.6,5.0,7.9,10.2
IND107B,1514669398007,3664.0,6.0,52.6,2.0,8.4,5.6
IND107B,1514672995547,3688.0,6.1,52.2,3.8,5.2,7.8
IND107B,1514676602560,3650.0,6.4,47.5,2.0,1.0,7.2
IND107B,1514680204268,3714.0,6.9,44.9,3.0,1.0,3.9
IND107B,1514683804424,3719.0,7.3,46.3,2.0,4.8,0.8
IND107B,1514687399127,3732.0,7.7,44.2,6.1,1.0,2.0
IND107B,1514690997345,3641.0,8.2,45.8,8.1,2.0,6.8
IND107B,1514694597507,3681.0,8.1,43.9,13.0,1.0,3.0
IND107B,1514698199246,3623.0,7.9,47.7,13.8,1.0,7.2
IND107B,1514701803015,3568.0,7.5,43.8,18.8,1.0,11.4
IND107B,1514705401018,3659.0,7.4,44.8,18.4,1.0,10.9
IND107B,1514709000422,3586.0,7.8,49.3,16.0,1.0,9.0
IND107B,1514712605109,3543.0,8.1,54.2,19.0,1.0,13.0
IND107B,1514716204294,3602.0,8.1,51.8,21.9,1.0,13.0
IND107B,1514719797257,3593.0,7.7,49.6,17.1,2.1,9.2
IND107B,1514723404057,3554.0,7.3,51.4,13.8,1.0,7.7
IND107B,1514727000058,3652.0,7.7,53.1,10.7,1.0,3.0
IND107B,1514730599694,3692.0,7.8,50.5,8.8,1.0,6.4
IND107B,1514734199755,3649.0,7.4,51.4,6.1,1.0,10.6
IND107B,1514737802481,3554.0,7.5,48.8,3.7,1.9,14.0
IND107B,1514741400316,3489.0,7.6,50.5,2.0,3.8,11.2
IND107B,1514744996157,3462.0,7.6,53.1,2.0,3.5,13.4
IND107B,1514748598881,3418.0,7.1,57.5,2.0,8.4,14.0
IND107B,1514752198387,3519.0,6.8,57.1,2.0,5.5,14.0
IND107B,1514755802429,3478.0,6.7,57.6,2.0,2.7,14.0
IND107B,1514759405236,3398.0,6.7,60.1,2.0,1.0,14.0
IND107B,1514763003261,3469.0,6.9,60.9,2.8,5.1,12.1
IND107B,1514766602218,3556.0,6.8,62.4,6.0,7.1,7.5
IND107B,1514770197137,3617.0,7.2,65.0,6.5,11.1,2.7
IND107B,1514773804916,3612.0,7.5,60.2,7.2,10.8,4.2
